ID,Animal Husbandry,Agriculture
SCCS10,0.13,0.87
SCCS101,0.13,0.87
SCCS103,0.15,0.85
SCCS105,0.17,0.83
SCCS106,0.15,0.85
SCCS11,0.3,0.7
SCCS110,0.17,0.83
SCCS111,0.17,0.83
SCCS112,0.15,0.85
SCCS113,0.15,0.85
SCCS114,0.12,0.88
SCCS115,0.23,0.77
SCCS116,0.25,0.75
SCCS117,0.1,0.9
SCCS12,0.13,0.87
SCCS14,0.04,0.96
SCCS141,0.04,0.96
SCCS149,0.03,0.97
SCCS15,0.13,0.87
SCCS152,0.17,0.83
SCCS153,0.13,0.87
SCCS154,0.03,0.97
SCCS155,0.1,0.9
SCCS157,0.17,0.83
SCCS158,0.04,0.96
SCCS159,0.87,0.13
SCCS16,0.17,0.83
SCCS160,0.2,0.8
SCCS163,0.03,0.97
SCCS168,0.17,0.83
SCCS169,0.04,0.96
SCCS17,0.1,0.9
SCCS171,0.23,0.77
SCCS172,0.34,0.66
SCCS18,0.29,0.71
SCCS184,0.25,0.75
SCCS19,0.03,0.97
SCCS20,0.13,0.87
SCCS21,0.34,0.66
SCCS22,0.29,0.71
SCCS23,0.23,0.77
SCCS24,0.38,0.62
SCCS25,0.9,0.1
SCCS26,0.34,0.66
SCCS27,0.17,0.83
SCCS28,0.04,0.96
SCCS29,0.34,0.66
SCCS3,0.38,0.62
SCCS30,0.25,0.75
SCCS31,0.29,0.71
SCCS32,0.15,0.85
SCCS33,0.25,0.75
SCCS34,0.97,0.03
SCCS35,0.2,0.8
SCCS36,0.9,0.1
SCCS37,0.34,0.66
SCCS38,0.9,0.1
SCCS39,0.34,0.66
SCCS4,0.34,0.66
SCCS40,0.38,0.62
SCCS41,0.62,0.38
SCCS42,0.38,0.62
SCCS43,0.34,0.66
SCCS44,0.43,0.57
SCCS45,0.25,0.75
SCCS46,0.97,0.03
SCCS47,0.4,0.6
SCCS48,0.4,0.6
SCCS49,0.25,0.75
SCCS5,0.29,0.71
SCCS50,0.45,0.55
SCCS51,0.45,0.55
SCCS52,0.96,0.04
SCCS54,0.3,0.7
SCCS55,0.66,0.34
SCCS56,0.3,0.7
SCCS57,0.45,0.55
SCCS58,0.88,0.12
SCCS59,0.2,0.8
SCCS6,0.04,0.96
SCCS60,0.29,0.71
SCCS61,0.97,0.03
SCCS62,0.13,0.87
SCCS63,0.2,0.8
SCCS64,0.4,0.6
SCCS65,0.88,0.12
SCCS66,0.88,0.12
SCCS67,0.34,0.66
SCCS68,0.34,0.66
SCCS69,0.12,0.88
SCCS7,0.03,0.97
SCCS70,0.15,0.85
SCCS71,0.2,0.8
SCCS72,0.29,0.71
SCCS73,0.25,0.75
SCCS74,0.12,0.88
SCCS75,0.38,0.62
SCCS76,0.12,0.88
SCCS78,0.17,0.83
SCCS8,0.25,0.75
SCCS81,0.25,0.75
SCCS82,0.12,0.88
SCCS83,0.2,0.8
SCCS84,0.3,0.7
SCCS85,0.25,0.75
SCCS87,0.25,0.75
SCCS88,0.04,0.96
SCCS89,0.13,0.87
SCCS92,0.17,0.83
SCCS93,0.04,0.96
SCCS94,0.25,0.75
SCCS98,0.17,0.83
SCCS99,0.29,0.71
